"Datum" "Date" "P" "Rohr" "Uhrzeit_der_Entnahme" "Wasserstand_unter_Flur_m" "wl" "Entnahmetiefe_m" "Temp" "pH" "ec" "SBV" "Cl" "O2" "O2percent" "COD" "oPO4" "TN" "NO3" "NO2" "NH4" "NO3_in_TN" "NO2_in_TN" "NH4_in_TN" "partMatter" "partOrganics" "COD_KMnO4" "remark" "CO2" "TOC_estimated_mg_L" "DOC_estimated_mg_L" "DOC_estimated_from_TOC" "ProbeRohr" "well_depth" "month_year_date" "sampl" "TS" "AS" "OS" "easting" "northing" "disttowater" "disttoFulda"
"1979-10-19" 1979-10-19 "Ful" NA NA NA NA NA 8.9 7.51 328 1.7 46.7 NA NA 4 690 3910 3590 90 235 91.7 2.3 6 NA NA NA NA NA 1.5 NA 0.45 NA "Ful" "101979" "Ful_101979" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"1979-10-19" 1979-10-19 "Sei" NA NA NA NA NA 8.2 7.68 271 1.75 25.4 NA NA 4.6 800 5920 5680 97 140 96 1.6 2.4 NA NA NA NA NA 1.725 NA 0.5175 NA "Sei" "101979" "Sei_101979" NA NA NA 547768.354841584 5597643.29771444 0 4
"1979-07-04" 1979-07-04 "P01" NA "0.36805555555555558" NA NA 4.5 8.9 6.56 783 2.74 96.7 2.53 22.5 1.9 3 250 225 10 15 90 4 6 NA NA NA NA NA 0.7125 NA 0.21375 NA "P01" "071979" "P01_071979" 12.69 8.93 3.76 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"1979-07-04" 1979-07-04 "P03" NA "0.34722222222222227" NA NA 3.9 11.3 6.76 283 2.4 19.6 2.19 20.7 1.6 66 2230 2150 10 75 96.2 0.4 3.4 NA NA NA NA NA 0.6 NA 0.18 NA "P03" "071979" "P03_071979" 50.175 46.595 3.58 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1979-07-06" 1979-07-06 "P04" NA "0.37847222222222227" NA NA 3.8 9.5 6.44 369 3.62 30.2 2.52 22.8 1.6 1 185 100 0.5 85 54 0 46 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.6 NA 0.18 NA "P04" "071979" "P04_071979" 952.315 879.63 72.635 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"1979-07-06" 1979-07-06 "P05" NA "0.39583333333333331" NA NA 3.3 10.1 7.26 1090 4.58 49.4 1.1 10.1 1.6 4 260 60 5 195 23 1.9 75 NA NA NA NA NA 0.6 NA 0.18 NA "P05" "071979" "P05_071979" 315.16 292.875 22.265 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"1979-07-06" 1979-07-06 "P06" NA "0.40625" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P06" "071979" "P06_071979" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1979-07-03" 1979-07-03 "P07" NA "0.39930555555555558" NA NA 4.1 9.5 7.07 645 5.34 71 1.51 13.7 1.2 2 25 20 5 0 80 20 0 NA NA NA "n.n. ersetzt druch 0" NA 0.45 NA 0.135 NA "P07" "071979" "P07_071979" 1003.355 933.8 69.56 547621.729100792 5597291.44577397 212.634119292897 313.413206998357
"1979-07-03" 1979-07-03 "P08" NA "0.41666666666666669" NA NA 3.75 9.2 6.93 398 3.54 32.5 1.54 13.8 1.6 3 65 10 0 55 15 0 85 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.6 NA 0.18 NA "P08" "071979" "P08_071979" 26.115 23.365 2.65 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1979-07-03" 1979-07-03 "P09" NA "0.43055555555555558" NA NA 3.6 9.9 6.9 480 3.42 3.42 2.36 21.6 1.2 4 55 0 5 50 0 9.1 90.9 NA NA NA NA NA 0.45 NA 0.135 NA "P09" "071979" "P09_071979" 72.495 65.355 7.135 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1979-07-06" 1979-07-06 "P10" NA "0.41319444444444442" NA NA 3.9 10.7 7.09 486 4.49 4.49 5.5 51.2 0.8 6 150 40 0.5 110 27 0 73 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.3 NA 0.09 NA "P10" "071979" "P10_071979" 861.3 798.88 62.42 547661.416680167 5597787.80510003 42.0833938384613 42.0833938384613
"1979-07-04" 1979-07-04 "P11" NA "0.3298611111111111" NA NA 2.6 10.5 6.68 382 1.68 1.68 4.5 41.7 1.2 2 560 485 25 50 86.6 4.5 8.9 NA NA NA NA NA 0.45 NA 0.135 NA "P11" "071979" "P11_071979" 267.24 243.975 23.715 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"1979-07-03" 1979-07-03 "P12" NA "0.44444444444444442" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P12" "071979" "P12_071979" NA NA NA 547534.416426167 5598038.10143395 127.400093596062 127.400093596062
"1979-07-03" 1979-07-03 "P13" NA "0.44444444444444442" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "k. W." NA NA NA NA NA "P13" "071979" "P13_071979" NA NA NA 547493.141343616 5598135.46829535 183.306089631364 183.306089631364
"1979-07-03" 1979-07-03 "P22" NA "0.4513888888888889" NA NA 4.8 NA 6.74 883 4 48.1 5.1 NA 1.9 13 10500 10300 30 150 98.3 0.3 1.43129770992366 NA NA NA NA NA 0.7125 NA 0.21375 NA "P22" "071979" "P22_071979" NA NA NA 547382.721678333 5598081.31679816 251.332720303273 283.099343058577
"1979-07-03" 1979-07-03 "P23" NA "0.45833333333333331" NA NA 3.7 11.1 7.28 581 4.97 16.8 2.45 23 1.2 15 370 340 10 20 91.9 2.7 5.40540540540541 NA NA NA NA NA 0.45 NA 0.135 NA "P23" "071979" "P23_071979" 59.615 51.545 8.075 547296.290949916 5597953.96376568 268.971293943837 369.874657063021
"1979-07-02" 1979-07-02 "P24" NA "0.34027777777777773" NA NA 3.5 9.1 7.21 895 4.24 79.4 1.09 9.8 1.2 2 260 25 10 225 9.6 3.8 86.5384615384615 NA NA NA NA NA 0.45 NA 0.135 NA "P24" "071979" "P24_071979" 284.315 262.99 21.275 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1979-07-03" 1979-07-03 "P25" NA "0.38541666666666669" NA NA 5 8.6 6.58 281 2.63 21.4 0.47 4.2 3.8 2 350 35 10 305 10 2.9 87.1428571428571 NA NA NA NA NA 1.425 NA 0.4275 NA "P25" "071979" "P25_071979" 370.115 347.765 22.26 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"1979-07-02" 1979-07-02 "P26" NA "0.38541666666666669" NA NA 4.55 9.1 6.98 478 2.79 43.5 3.85 34.5 1.6 27 3270 3190 0.5 80 97.6 0 2.44610915762116 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.6 NA 0.18 NA "P26" "071979" "P26_071979" 293.74 270.78 22.96 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-07-02" 1979-07-02 "P26" "1" "0.39583333333333331" NA NA 2.1 12.7 6.57 387 1.44 51 3.61 35.2 2.2 4 3620 3480 14 125 96.2 0.4 3.45399281569494 NA NA NA NA NA 0.825 NA 0.2475 "1" "P26_1" "071979" "P26_1_071979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-07-02" 1979-07-02 "P26" "2" "0.40625" NA NA 2.1 10.7 6.5 349 1 48.3 8.36 77.8 2.8 3 1150 1050 18 85 91 1.6 7.37207285342585 NA NA NA NA NA 1.05 NA 0.315 "2" "P26_2" "071979" "P26_2_071979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-07-02" 1979-07-02 "P26" "3" "0.41666666666666669" NA NA 3 9.8 6.68 424 2.12 44.9 4.4 40.1 1.6 0.5 2030 2010 10 10 99 0.5 0.492610837438424 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.6 NA 0.18 "3" "P26_3" "071979" "P26_3_071979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-07-02" 1979-07-02 "P26" "4" "0.43055555555555558" NA NA 3 9.8 6.48 352 1.54 42.2 4.75 43.3 1.8 2 660 580 14 65 88 2.1 9.86342943854325 NA NA NA NA NA 0.675 NA 0.2025 "4" "P26_4" "071979" "P26_4_071979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-07-02" 1979-07-02 "P26" "5" "0.44444444444444442" NA NA 4 8.8 7.1 528 3.08 44.7 4.14 36.8 0.4 2 4360 4260 0.5 100 97.7 0 2.29331498681344 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.15 NA 0.045 "5" "P26_5" "071979" "P26_5_071979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-07-03" 1979-07-03 "P27" NA "0.37152777777777773" NA NA 4.2 9 7.2 1101 4.66 126.2 3.02 27 0.8 11 3770 3740 0.5 25 99.2 0 0.663922453857389 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.3 NA 0.09 NA "P27" "071979" "P27_071979" 529.81 504.49 25.32 547181.46155359 5597345.77366041 14.1024545094393 648.73917502567
"1979-07-02" 1979-07-02 "P28" NA "0.36458333333333331" NA NA 5.2 8.1 6.81 410 2.32 46.3 6.8 59.4 0.5 27 9040 9000 0.5 40 99.6 0 0.442453404125878 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.1875 NA 0.05625 NA "P28" "071979" "P28_071979" 354.95 335.08 19.86 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1979-07-03" 1979-07-03 "P31" NA "0.3576388888888889" NA NA 4 11.5 6.37 268 1.86 26.4 1.94 18.4 2.2 1 680 500 5 175 7.4 0.7 25.7352941176471 NA NA NA NA NA 0.825 NA 0.2475 NA "P31" "071979" "P31_071979" NA NA NA 547949.283922568 5597148.57048822 6.06638807236321 71.8322427497757
"1979-07-06" 1979-07-06 "P32" NA "0.3611111111111111" NA NA 4.3 9.2 7.28 519 4.28 50.7 2.08 18.7 1.2 9 520 465 10 45 89 1.9 8.65384615384615 NA NA NA NA NA 0.45 NA 0.135 NA "P32" "071979" "P32_071979" 502.59 471.44 31.14 547620.670765342 5597035.8577628 16.3935506166589 295.030902995258
"1979-07-06" 1979-07-06 "Ful" NA "0.41319444444444442" NA NA NA 14.3 7.56 378 1.52 64.3 NA NA 5.5 500 4640 4180 170 295 90 3.7 6.35091496232508 NA NA NA NA NA 2.0625 NA 0.61875 NA "Ful" "071979" "Ful_071979" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"1979-07-06" 1979-07-06 "Sei" NA "0.40972222222222227" NA NA NA 13 7.69 223 1.26 21.4 NA NA 6.5 330 4650 4300 148 200 92.5 3.2 4.30292598967298 NA NA NA NA NA 2.4375 NA 0.73125 NA "Sei" "071979" "Sei_071979" NA NA NA 547768.354841584 5597643.29771444 0 4
"1979-04-24" 1979-04-24 "P06" NA "0.3576388888888889" NA NA 2.45 7.9 6.8 270 1.69 23.3 6.7 58.3 3.4 114 130 30 6 98 22.3880597014925 4.47761194029851 73.134328358209 NA NA NA NA NA 1.275 NA 0.3825 NA "P06" "041979" "P06_041979" 528.37 489.94 43.43 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1979-04-24" 1979-04-24 "P09" NA "0.3888888888888889" NA NA 3.6 6 6.81 382 2.24 50.9 3.41 28.3 2.6 4 110 4 26 80 3.63636363636364 23.6363636363636 72.7272727272727 NA NA NA NA NA 0.975 NA 0.2925 NA "P09" "041979" "P09_041979" 86.05 73.2 12.85 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1979-04-24" 1979-04-24 "P10" NA "0.375" NA NA 3.8 6 7.18 515 4.45 29.7 3.33 27.6 1.3 3 40 0 3 70 0 4.10958904109589 95.8904109589041 NA NA NA NA NA 0.4875 NA 0.14625 NA "P10" "041979" "P10_041979" 363.16 331.55 31.61 547661.416680167 5597787.80510003 42.0833938384613 42.0833938384613
"1979-04-24" 1979-04-24 "P11" NA "0.40972222222222227" NA NA 2.6 6.6 6.71 445 1.74 52.7 4.14 34.8 1.6 2 110 30 6 70 28.3018867924528 5.66037735849057 66.0377358490566 NA NA NA NA NA 0.6 NA 0.18 NA "P11" "041979" "P11_041979" 246.48 218.72 27.76 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"1979-04-25" 1979-04-25 "P23" NA "0.34722222222222227" NA NA 3.7 6.8 6.94 400 4.42 4.42 3.65 30.9 2.1 18 180 100 6 75 55.2486187845304 3.31491712707182 41.4364640883978 NA NA NA NA NA 0.7875 NA 0.23625 NA "P23" "041979" "P23_041979" 70.905 69.43 1.47 547296.290949916 5597953.96376568 268.971293943837 369.874657063021
"1979-04-25" 1979-04-25 "P26" NA "0.3611111111111111" NA NA 4.55 6.8 6.18 371 1.16 1.16 7.08 59.9 2.1 30 130 70 6 58 52.2388059701493 4.47761194029851 43.2835820895522 NA NA NA NA NA 0.7875 NA 0.23625 NA "P26" "041979" "P26_041979" 337 309.28 27.77 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-04-25" 1979-04-25 "P26" "1" "0.37152777777777773" NA NA 2 8 6.49 383 1.42 1.42 3.43 30.6 1.3 2 110 10 6 98 8.7719298245614 5.26315789473684 85.9649122807018 NA NA NA NA NA 0.4875 NA 0.14625 "1" "P26_1" "041979" "P26_1_041979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-04-25" 1979-04-25 "P26" "2" "0.37847222222222227" NA NA 2.1 6.6 6.16 365 0.94 0.94 6.4 53.9 1.6 6 40 0 6 45 0 11.7647058823529 88.2352941176471 NA NA NA NA NA 0.6 NA 0.18 "2" "P26_2" "041979" "P26_2_041979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-04-25" 1979-04-25 "P26" "3" "0.3888888888888889" NA NA 3 6.8 6.12 354 1.14 1.14 7.47 63.2 1.9 2 110 20 18 75 17.6991150442478 15.929203539823 66.3716814159292 NA NA NA NA NA 0.7125 NA 0.21375 "3" "P26_3" "041979" "P26_3_041979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-04-25" 1979-04-25 "P26" "4" "0.39930555555555558" NA NA 3 6.4 6.24 367 1.28 1.28 6.74 56.4 1.6 2 80 20 12 52 23.8095238095238 14.2857142857143 61.9047619047619 NA NA NA NA NA 0.6 NA 0.18 "4" "P26_4" "041979" "P26_4_041979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-04-25" 1979-04-25 "P26" "5" "0.40972222222222227" NA NA 4 6.6 6.12 353 1.24 1.24 7.25 61 1.6 11 60 20 6 35 32.7868852459016 9.83606557377049 57.3770491803279 NA NA NA NA NA 0.6 NA 0.18 "5" "P26_5" "041979" "P26_5_041979" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1979-04-18" 1979-04-18 "P22" NA "0.40625" NA NA 4.5 5.9 7.07 750 3.54 43.8 8.52 70.47 1.6 8 110 260 6 146 63.1067961165049 1.45631067961165 35.4368932038835 NA NA NA NA NA 0.6 NA 0.18 NA "P22" "041979" "P22_041979" 118.81 98.34 20.47 547382.721678333 5598081.31679816 251.332720303273 283.099343058577
"1979-04-18" 1979-04-18 "P24" NA "0.39583333333333331" NA NA 3.5 5.9 7.14 1066 3.44 109.3 1.09 9 1.9 2 450 230 12 208 51.1111111111111 2.66666666666667 46.2222222222222 NA NA NA NA NA 0.7125 NA 0.21375 NA "P24" "041979" "P24_041979" 352.39 326.365 25.97 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1979-04-18" 1979-04-18 "P25" NA "0.38541666666666669" NA NA 5 6.6 6.7 277 1.83 24.1 1.48 12.46 2.8 2 560 310 6 240 55.7553956834532 1.07913669064748 43.1654676258993 NA NA NA NA NA 1.05 NA 0.315 NA "P25" "041979" "P25_041979" 418.96 379.485 39.495 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"1979-04-18" 1979-04-18 "P27" NA "0.3576388888888889" NA NA 4.2 6.6 7.17 1041 4.4 131.9 3.03 25.51 0.8 13 80 10 6 62 12.8205128205128 7.69230769230769 79.4871794871795 NA NA NA NA NA 0.3 NA 0.09 NA "P27" "041979" "P27_041979" 662.19 618.585 43.545 547181.46155359 5597345.77366041 14.1024545094393 648.73917502567
"1979-04-18" 1979-04-18 "P28" NA "0.35416666666666669" NA NA 5 7.3 6.62 391 2.05 41.4 7.39 63.3 0.5 33 130 40 0.5 88 31.1284046692607 0.389105058365759 68.4824902723735 NA NA NA "Sp. Ersetz durch 0.5" NA 0.1875 NA 0.05625 NA "P28" "041979" "P28_041979" 503.94 475.47 28.375 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1979-04-19" 1979-04-19 "P01" NA "0.39583333333333331" NA NA 4.5 6.1 6.5 492 2.58 22.9 1.42 11.8 3 2 80 0 47 102 0 31.5436241610738 68.4563758389262 NA NA NA NA NA 1.125 NA 0.3375 NA "P01" "041979" "P01_041979" 30.8 19.48 11.31 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"1979-04-19" 1979-04-19 "P07" NA "0.37152777777777773" NA NA 4.1 5.8 7 630 5.5 34.8 1.29 10.6 1.6 1 40 0 9 70 0 11.3924050632911 88.6075949367089 NA NA NA NA NA 0.6 NA 0.18 NA "P07" "041979" "P07_041979" 604.18 560.25 43.93 547621.729100792 5597291.44577397 212.634119292897 313.413206998357
"1979-04-19" 1979-04-19 "P08" NA "0.38194444444444442" NA NA 3.75 6.5 6.94 379 3.34 16.4 1.22 10.2 1.9 8 130 0 3 138 0 2.12765957446809 97.8723404255319 NA NA NA NA NA 0.7125 NA 0.21375 NA "P08" "041979" "P08_041979" 41.14 33.1 8.05 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1979-04-19" 1979-04-19 "P13" NA "0.39930555555555558" NA NA 4.5 NA 5.93 561 0.81 14.5 2.45 20.1 6.6 1 3770 1800 158 1810 47.7707006369427 4.1932059447983 48.036093418259 NA NA NA NA NA 2.475 NA 0.7425 NA "P13" "041979" "P13_041979" NA NA NA 547493.141343616 5598135.46829535 183.306089631364 183.306089631364
"1979-04-19" 1979-04-19 "P32" NA "0.35416666666666669" NA NA 4.3 6.2 6.93 219 1.01 10.9 4.34 3.62 1.3 16 180 90 6 80 51.1363636363636 3.40909090909091 45.4545454545455 NA NA NA NA NA 0.4875 NA 0.14625 NA "P32" "041979" "P32_041979" NA NA NA 547620.670765342 5597035.8577628 16.3935506166589 295.030902995258
"1979-04-20" 1979-04-20 "P03" NA "0.38541666666666669" NA NA 3.9 6.3 6.8 237 1.32 11.9 1.74 14.54 2.6 32 280 90 12 174 32.6086956521739 4.34782608695652 63.0434782608696 NA NA NA NA NA 0.975 NA 0.2925 NA "P03" "041979" "P03_041979" 243.69 223.96 19.73 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1979-04-20" 1979-04-20 "P04" NA "0.35416666666666669" NA NA 3.8 5.9 6.78 370 2.7 26.1 2.06 17 3.4 2 80 0 18 70 0 20.4545454545455 79.5454545454545 NA NA NA NA NA 1.275 NA 0.3825 NA "P04" "041979" "P04_041979" 665.34 603.26 62.08 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"1979-04-20" 1979-04-20 "P05" NA "0.36458333333333331" NA NA 3.3 5.6 7.16 1106 4.38 21.2 1.76 14.4 0.8 2 130 5 9 116 3.84615384615385 6.92307692307692 89.2307692307692 NA NA NA NA NA 0.3 NA 0.09 NA "P05" "041979" "P05_041979" 234.17 210.9 23.27 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"1979-04-20" 1979-04-20 "P06" NA "0.375" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P06" "041979" "P06_041979" 528.37 489.94 43.43 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1979-04-20" 1979-04-20 "P31" NA "0.34027777777777773" NA NA 4 6.6 6.23 207 1.34 9.4 1.82 15.3 1.6 2 180 60 6 112 33.7078651685393 3.37078651685393 62.9213483146067 NA NA NA NA NA 0.6 NA 0.18 NA "P31" "041979" "P31_041979" NA NA NA 547949.283922568 5597148.57048822 6.06638807236321 71.8322427497757
"1979-04-20" 1979-04-20 "Ful" NA "0.38194444444444442" NA NA NA 6.1 7.55 316 1.04 29.3 NA NA 1.9 110 340 170 35 140 49.2753623188406 10.1449275362319 40.5797101449275 NA NA NA NA NA 0.7125 NA 0.21375 NA "Ful" "041979" "Ful_041979" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"1979-04-20" 1979-04-20 "Sei" NA "0.38194444444444442" NA NA NA 6.1 7.67 203 0.87 11 NA NA 1.9 60 180 80 23 80 43.7158469945355 12.568306010929 43.7158469945355 NA NA NA NA NA 0.7125 NA 0.21375 NA "Sei" "041979" "Sei_041979" NA NA NA 547768.354841584 5597643.29771444 0 4
"1979-01-29" 1979-01-29 "P22" NA "0.4375" NA NA 4.5 5.5 6.79 1243 3.78 20.5 7.53 62 3.9 9 15800 15600 6 175 98.8530511374438 0.0380204042836322 1.10892845827261 NA NA NA NA NA 1.4625 NA 0.43875 NA "P22" "011979" "P22_011979" NA NA NA 547382.721678333 5598081.31679816 251.332720303273 283.099343058577
"1979-01-26" 1979-01-26 "P31" NA "0.39930555555555558" NA NA 4 5.5 6.67 294 2.38 30.7 2.61 21 1.4 3 440 85 6 350 19.2743764172336 1.36054421768707 79.3650793650794 NA NA NA NA NA 0.525 NA 0.1575 NA "P31" "011979" "P31_011979" 361.57 310.32 51.25 547949.283922568 5597148.57048822 6.06638807236321 71.8322427497757
"1979-01-26" 1979-01-26 "P06" NA "0.4513888888888889" NA NA 2.45 1.5 7.01 283 1.56 28.1 7.85 58 1.8 128 6250 6060 6 185 96.9444888817789 0.0959846424572069 2.95952647576388 NA NA NA NA NA 0.675 NA 0.2025 NA "P06" "011979" "P06_011979" 928.8 842.37 86.43 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-10-26" 1978-10-26 "P07" NA "0.33680555555555558" NA NA 4.1 11.3 7 643 6.1 68.2 1.18 11 1.5 0.5 50 21 9 20 42 18 40 NA NA NA "Sp. Ersetz durch 0.5" NA 0.5625 NA 0.16875 NA "P07" "101978" "P07_101978" NA NA NA 547621.729100792 5597291.44577397 212.634119292897 313.413206998357
"1978-10-26" 1978-10-26 "P08" NA "0.3576388888888889" NA NA 3.75 11.1 6.78 349 3.24 30.7 1.63 15 2.1 4 155 0 2 155 0 1.27388535031847 98.7261146496815 NA NA NA NA NA 0.7875 NA 0.23625 NA "P08" "101978" "P08_101978" NA NA NA 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1978-10-26" 1978-10-26 "P09" NA "0.3611111111111111" NA NA 3.6 10.7 6.83 512 3.89 29.4 1.31 12 1.5 1 90 33 7 50 36.6666666666667 7.77777777777778 55.5555555555556 NA NA NA NA NA 0.5625 NA 0.16875 NA "P09" "101978" "P09_101978" NA NA NA 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1978-10-26" 1978-10-26 "P26" NA "0.39930555555555558" NA NA 4.55 10.4 6.95 446 3.12 34.8 4.2 39 0.6 20 3650 3590 0.5 55 98.4775750925799 0.0137155397064875 1.50870936771362 NA NA NA "Sp. Ersetz durch 0.5" NA 0.225 NA 0.0675 NA "P26" "101978" "P26_101978" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1978-10-26" 1978-10-26 "P28" NA "0.37847222222222227" NA NA 5.2 9.3 6.72 386 2.34 41.8 7.29 66 0.4 36 8630 8590 0.5 35 99.5884296562518 0.00579676540490406 0.405773578343284 NA NA NA "Sp. Ersetz durch 0.5" NA 0.15 NA 0.045 NA "P28" "101978" "P28_101978" NA NA NA 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1978-11-29" 1978-11-29 "P26" NA "0.3576388888888889" NA NA 4.35 9.7 6.96 452 3.19 34.2 3.79 34 0.4 22 2980 2870 0.5 110 96.2925683610133 0.0167757087736957 3.69065593021305 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.15 NA 0.045 NA "P26" "111978" "P26_111978" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1978-12-12" 1978-12-12 "P09" NA "0.34375" NA NA 3.6 9 6.87 462 3.64 28 1.46 13 1 3 120 60 6 55 49.5867768595041 4.95867768595041 45.4545454545455 NA NA NA NA NA 0.375 NA 0.1125 NA "P09" "121978" "P09_121978" NA NA NA 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1978-12-13" 1978-12-13 "P03" NA NA NA NA 3.9 5.6 6.96 387 2.24 53 6.6 54 3.1 60 5360 5130 6 225 95.6911024062675 0.111919418019026 4.19697817571349 NA NA NA NA NA 1.1625 NA 0.34875 NA "P03" "121978" "P03_121978" NA NA NA 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1978-12-13" 1978-12-13 "P08" NA NA NA NA 3.75 9.2 6.78 352 2.76 40.2 1.57 14 1.6 8 150 45 3 100 30.4054054054054 2.02702702702703 67.5675675675676 NA NA NA NA NA 0.6 NA 0.18 NA "P08" "121978" "P08_121978" NA NA NA 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1978-12-13" 1978-12-13 "Ful" NA NA NA NA NA 5.7 7.52 266 1.448 37.8 NA NA 2.3 330 3330 2620 43 670 78.6078607860786 1.29012901290129 20.1020102010201 NA NA NA NA NA 0.8625 NA 0.25875 NA "Ful" "121978" "Ful_121978" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"1978-12-13" 1978-12-13 "Sei" NA NA NA NA NA 5.1 7.48 371 2.72 40.2 NA NA 5.8 760 5350 3220 56 2070 60.231949120838 1.04751215862327 38.7205387205387 NA NA NA NA NA 2.175 NA 0.6525 NA "Sei" "121978" "Sei_121978" NA NA NA 547768.354841584 5597643.29771444 0 4
"1978-12-19" 1978-12-19 "P24" NA "0.3576388888888889" NA NA 3.5 8.5 7.12 903 4.96 27.5 1.76 16 0.8 4 340 155 6 180 45.4545454545455 1.75953079178886 52.7859237536657 NA NA NA NA NA 0.3 NA 0.09 NA "P24" "121978" "P24_121978" NA NA NA 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1978-10-24" 1978-10-24 "P04" NA "0.38541666666666669" NA NA 3.8 10.9 6.88 378 3.62 28.5 1.08 10.1 2.3 1 175 35 5 135 20 2.85714285714286 77.1428571428571 NA NA NA NA NA 0.8625 NA 0.25875 NA "P04" "101978" "P04_101978" NA NA NA 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"1978-10-24" 1978-10-24 "P05" NA "0.39930555555555558" NA NA 3.3 11.2 7.25 740 4.46 62.9 6.83 64 1.5 1 290 0 2 330 0 0.602409638554217 99.3975903614458 NA NA NA NA NA 0.5625 NA 0.16875 NA "P05" "101978" "P05_101978" NA NA NA 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"1978-10-24" 1978-10-24 "P10" NA "0.41319444444444442" NA NA 3.9 10.9 7.14 511 4.46 54.5 3.46 32 1 1 155 50 2 105 31.8471337579618 1.27388535031847 66.8789808917197 NA NA NA NA NA 0.375 NA 0.1125 NA "P10" "101978" "P10_101978" NA NA NA 547661.416680167 5597787.80510003 42.0833938384613 42.0833938384613
