"Datum" "Date" "P" "Rohr" "Uhrzeit_der_Entnahme" "Wasserstand_unter_Flur_m" "wl" "Entnahmetiefe_m" "Temp" "pH" "ec" "SBV" "Cl" "O2" "O2percent" "COD" "oPO4" "TN" "NO3" "NO2" "NH4" "NO3_in_TN" "NO2_in_TN" "NH4_in_TN" "partMatter" "partOrganics" "COD_KMnO4" "remark" "CO2" "TOC_estimated_mg_L" "DOC_estimated_mg_L" "DOC_estimated_from_TOC" "ProbeRohr" "well_depth" "month_year_date" "sampl" "TS" "AS" "OS" "easting" "northing" "disttowater" "disttoFulda"
"1979-01-22" 1979-01-22 "P28" NA "0.34375" 2.79 NA 5.2 7.3 6.77 370 2.34 40 7.41 63 0.2 37 7120 7070 3 45 99.3256532733914 0.0421466704130374 0.632200056195561 518 34 NA NA NA 0.075 -3.01590909090909 0.0225 NA "P28" "011979" "P28_011979" 603.805 564.435 39.37 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1979-01-26" 1979-01-26 "P32" NA "0.375" 1.95 NA 4.3 7 7.31 519 4.4 56.9 2.71 23 0.6 10 1470 1370 12 85 93.3878663940014 0.81799591002045 5.79413769597819 551 60 NA NA NA 0.225 -5.22954545454545 0.0675 NA "P32" "011979" "P32_011979" 604.95 538.58 66.37 547620.670765342 5597035.8577628 16.3935506166589 295.030902995258
"1977-09-19" 1977-09-19 "P01" NA NA 2.39 252.23 NA 10.8 6.69 1130 3.9 77.9 0 0 3.6 NA 2590 300 1.6 2290 12 0.1 88 NA NA 2.2 NA NA 1.35 NA 0.405 NA "P01" "091977" "P01_091977" NA NA NA 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"1977-09-20" 1977-09-20 "P03" NA NA 2.82 251.82 3.1 NA 7.09 909 5.38 91.7 2.1 20 2.8 197 3710 0 1.6 3990 0 0.05 100 NA NA 1.8 NA NA 1.05 NA 0.315 NA "P03" "091977" "P03_091977" NA NA NA 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1977-09-19" 1977-09-19 "P08" NA NA 1.94 253.85 NA 12.1 6.77 496 2.34 44.8 0.85 8 5 2 4080 0 2.4 4850 0 0.1 100 NA NA 2.8 NA NA 1.875 NA 0.5625 NA "P08" "091977" "P08_091977" NA NA NA 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1977-09-20" 1977-09-20 "P09" NA NA 2.39 252.91 3.3 11.8 6.89 1220 3.13 24.6 0.07 1 1.2 NA 77 70 2.7 4 91 4 5 NA NA 0.9 "Ausfaellungen vor Analyse" NA 0.45 NA 0.135 NA "P09" "091977" "P09_091977" NA NA NA 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1977-09-20" 1977-09-20 "P10" NA NA 3.31 250.58 3.7 11.8 7.18 603 4.36 59.3 2.8 27 0.6 2 250 230 0.8 20 92 0.3 8 NA NA 0.5 NA NA 0.225 NA 0.0675 NA "P10" "091977" "P10_091977" NA NA NA 547661.416680167 5597787.80510003 42.0833938384613 42.0833938384613
"1977-09-19" 1977-09-19 "P11" NA NA 1.71 251.04 NA 13.3 6.88 352 1.69 58.6 1.6 16 1.9 1 260 120 11.8 130 46 5 50 NA NA 1.3 NA NA 0.7125 NA 0.21375 NA "P11" "091977" "P11_091977" NA NA NA 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"1977-09-20" 1977-09-20 "P24" NA NA 1.86 252.52 2.5 12 7.23 1150 6.58 NA 0 0 36 2890 36000 1800 27 34200 5 0.1 95 NA NA 22 NA NA 13.5 NA 4.05 NA "P24" "091977" "P24_091977" NA NA NA 547383.603624541 5597620.14712582 5.50142533739456 342.890974516111
"1977-09-20" 1977-09-20 "P25" NA NA 1.65 254.42 3.7 10.2 6.57 401 2.77 23.9 0.14 1 4.7 6 590 90 4.3 500 15 1 85 NA NA 2.7 "Ausfaellungen vor Analyse" NA 1.7625 NA 0.52875 NA "P25" "091977" "P25_091977" NA NA NA 547416.500218112 5597383.87373661 6.69597931636695 443.148617361448
"1977-09-19" 1977-09-19 "P26" NA NA 2.59 252.59 NA 10.6 7.9 397 2.58 23.2 NA NA 0.5 15 4150 4140 0.6 6 100 0.05 0.1 NA NA 0.4 NA NA 0.1875 NA 0.05625 NA "P26" "091977" "P26_091977" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1977-09-19" 1977-09-19 "P26" "3" NA 2.59 NA 3 11.6 6.87 362 2.28 30.6 4.1 39 0.8 2 1560 1550 2.8 8 99 0.2 1 NA NA 0.7 NA NA 0.3 NA 0.09 "3" "P26_3" "091977" "P26_3_091977" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1977-09-19" 1977-09-19 "P26" "4" NA 2.59 NA 3 11.6 6.78 317 1.91 26.2 4.9 47 0.6 1 970 960 0.9 8 99 0.1 1 NA NA 0.5 NA NA 0.225 NA 0.0675 "4" "P26_4" "091977" "P26_4_091977" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1977-09-19" 1977-09-19 "P26" "5" NA 2.59 NA 4 NA 7.18 419 3.5 27.1 4.9 46 0.6 10 4110 4110 0.8 4 100 0.05 0 NA NA 0.5 NA NA 0.225 NA 0.0675 "5" "P26_5" "091977" "P26_5_091977" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1977-09-20" 1977-09-20 "P27" NA NA 1.01 255 3.3 12.3 6.98 1540 5.4 288.5 2.7 26 1.2 13 1030 1020 1.8 12 99 0.2 1 NA NA 0.9 NA NA 0.45 NA 0.135 NA "P27" "091977" "P27_091977" NA NA NA 547181.46155359 5597345.77366041 14.1024545094393 648.73917502567
"1977-09-20" 1977-09-20 "P28" NA NA 3.38 252.36 4.5 9.5 6.78 396 1.93 42.5 7.3 66 0.6 33 4820 4790 0.7 29 99 0.05 1 NA NA 0.5 NA NA 0.225 NA 0.0675 NA "P28" "091977" "P28_091977" NA NA NA 547076.950927902 5597619.79434734 235.275365930542 642.263131525091
"1977-09-20" 1977-09-20 "Ful" NA NA NA NA NA 9.5 7.78 346 1.42 10.4 10.4 94 2 490 4280 4090 92 100 96 2 2 NA NA 1.4 NA NA 0.75 NA 0.225 "bei P06" "Ful" "091977" "Ful_091977" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"1977-09-20" 1977-09-20 "P06" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P06" "091977" "P06_091977" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1977-10-11" 1977-10-11 "P04" NA "0.4375" 1.95 254.69 3.3 12.1 6.98 360 3.17 28.3 0.17 2 2.7 3 137 3 5 129 2 4 94 NA NA NA " Leichte Ausfaellungen vor Analyse" NA 1.0125 NA 0.30375 NA "P04" "101977" "P04_101977" NA NA NA 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"1977-10-11" 1977-10-11 "P05" NA "0.45833333333333331" 2.08 253.57 2.9 12.5 7.25 917 4.4 36.6 4.1 40 2.5 1 554 141 4.2 409 25 1 74 NA NA NA NA NA 0.9375 NA 0.28125 NA "P05" "101977" "P05_101977" NA NA NA 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"1977-10-11" 1977-10-11 "P06" NA "0.47916666666666669" 0.94 253.06 1.9 12.6 6.59 269 1.54 25.3 2.6 25 3.9 123 2720 2600 5.9 110 96 0.2 4 NA NA NA NA NA 1.4625 NA 0.43875 NA "P06" "101977" "P06_101977" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1977-10-11" 1977-10-11 "P07" NA "0.53472222222222221" 1.01 255.4 3.6 11.6 7.09 672 5.35 71.7 1.9 18 1.8 3 49 16 3.6 29 33 7 59 NA NA NA " Leichte Ausfaellungen vor Analyse" NA 0.675 NA 0.2025 NA "P07" "101977" "P07_101977" NA NA NA 547621.729100792 5597291.44577397 212.634119292897 313.413206998357
"1977-10-11" 1977-10-11 "P08" NA "0.52083333333333337" 1.08 254.71 NA 11.7 6.93 381 2.08 32.4 1.2 12 2.9 1 198 32 6.7 159 16 3 80 NA NA NA NA NA 1.0875 NA 0.32625 NA "P08" "101977" "P08_101977" NA NA NA 547597.916553167 5597489.88367085 63.9337749672504 247.655679007636
"1977-10-11" 1977-10-11 "P09" NA "0.5" 2.34 252.96 NA 12 6.8 1110 2.85 26.6 0.9 9 2.2 NA 40 13 4.4 23 33 11 58 NA NA NA "Ausfaellungen vor Analyse" NA 0.825 NA 0.2475 NA "P09" "101977" "P09_101977" NA NA NA 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1977-10-11" 1977-10-11 "P12" NA "0.55555555555555558" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P12" "101977" "P12_101977" NA NA NA 547534.416426167 5598038.10143395 127.400093596062 127.400093596062
"1977-10-11" 1977-10-11 "P13" NA "0.5625" 3.91 249.14 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P13" "101977" "P13_101977" NA NA NA 547493.141343616 5598135.46829535 183.306089631364 183.306089631364
"1977-10-11" 1977-10-11 "P22" NA "0.58680555555555558" 3.94 249.74 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "P22" "101977" "P22_101977" NA NA NA 547382.721678333 5598081.31679816 251.332720303273 283.099343058577
"1977-10-11" 1977-10-11 "P23" NA "0.60416666666666663" 2.23 252.08 3.4 13.2 7.38 568 3.75 17.9 NA NA 1.7 13 3540 3430 7.6 101 97 0.2 3 NA NA NA NA NA 0.6375 NA 0.19125 NA "P23" "101977" "P23_101977" NA NA NA 547296.290949916 5597953.96376568 268.971293943837 369.874657063021
"1977-10-11" 1977-10-11 "P31" NA "0.36805555555555558" 1.89 255.19 3.7 11.9 6.69 302 2.37 27.1 NA NA 2.9 1 703 0 6.4 771 1 1 99 NA NA NA "Ausfaellungen vor Analyse" NA 1.0875 NA 0.32625 NA "P31" "101977" "P31_101977" NA NA NA 547949.283922568 5597148.57048822 6.06638807236321 71.8322427497757
"1977-10-11" 1977-10-11 "P32" NA "0.40972222222222227" 2.4 255.66 4 11.1 7.39 583 4.37 55.4 NA NA 1.7 6 62 31 2.2 29 4 4 47 NA NA NA NA NA 0.6375 NA 0.19125 NA "P32" "101977" "P32_101977" NA NA NA 547620.670765342 5597035.8577628 16.3935506166589 295.030902995258
"1977-10-13" 1977-10-13 "P26" NA NA 2.68 252.5 3 NA 7.05 398 2.82 25.5 4.4 NA 0.8 15 3370 3300 2.7 66 98 0.1 2 NA NA NA NA NA 0.3 NA 0.09 NA "P26" "101977" "P26_101977" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1977-10-13" 1977-10-13 "P26" "3" NA 2.68 NA 3 11.3 3.85 360 2.28 28 7.4 70 0.8 NA 2650 2620 13.1 99 99 0.5 1 NA NA NA NA NA 0.3 NA 0.09 "3" "P26_3" "101977" "P26_3_101977" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1977-10-13" 1977-10-13 "P26" "4" NA 2.68 NA 3 11.6 6.66 315 1.95 27.1 3.9 37 1.2 NA 649 601 4.7 93 93 1 7 NA NA NA NA NA 0.45 NA 0.135 "4" "P26_4" "101977" "P26_4_101977" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1977-10-13" 1977-10-13 "P26" "5" NA 2.68 NA 4 10.8 7.14 417 3.08 25.3 4.8 45 NA 24 3730 3700 2.2 99 99 0.1 1 NA NA NA NA NA NA NA NA "5" "P26_5" "101977" "P26_5_101977" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1977-10-13" 1977-10-13 "Ful" NA "0.4513888888888889" NA NA NA 9.5 7.57 319 1.5 43.5 9.2 83 3.1 474 3140 2890 73 180 92 2 6 NA NA NA NA NA 1.1625 NA 0.34875 "bei P06" "Ful" "101977" "Ful_101977" NA NA NA 547759.094909668 5597688.33331299 0 2.33465325998646e-09
"1978-01-17" 1978-01-17 "P01" NA NA 1.29 253.33 4 8.2 6.42 707 NA NA 1.83 16 1.8 2 1770 1650 20 102 93 1.1 6 NA NA NA NA NA 0.675 NA 0.2025 NA "P01" "011978" "P01_011978" NA NA NA 547498.962188591 5597801.56346088 15.7520116309279 197.921006683123
"1978-01-17" 1978-01-17 "P03" NA NA 1.8 252.84 3.2 6.6 7.02 712 NA NA 4.39 37 2.1 22 610 440 NA 165 73 0 27 NA NA NA NA NA 0.7875 NA 0.23625 NA "P03" "011978" "P03_011978" NA NA NA 547560.433839313 5597833.57810824 11.4637509679278 134.609685300649
"1978-01-17" 1978-01-17 "P04" NA NA 0.92 255.72 3.3 8 7.11 355 NA NA 2.01 18 1 2 300 200 13 88 67 4 29 NA NA NA NA NA 0.375 NA 0.1125 NA "P04" "011978" "P04_011978" NA NA NA 547799.529456393 5597213.6581184 83.3823591725279 171.421887733143
"1978-01-17" 1978-01-17 "P05" NA NA 0.95 254.7 2.8 7.2 7.28 1030 NA NA 1.87 16 0.5 2 230 50 27 151 22 12 66 NA NA NA NA NA 0.1875 NA 0.05625 NA "P05" "011978" "P05_011978" NA NA NA 547771.483566968 5597426.91271157 135.964919243589 135.964919243589
"1978-01-17" 1978-01-17 "P06" NA NA 0.97 253.03 2 3.8 6.92 247 NA NA 5.76 45 1.6 59 4020 3940 0.5 79 98 0 2 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.6 NA 0.18 NA "P06" "011978" "P06_011978" NA NA NA 547763.369661851 5597644.92981428 5.24542974830661 43.6134979887314
"1978-01-17" 1978-01-17 "P09" NA NA 0.99 254.31 3.2 7.6 6.88 718 NA NA 0.14 1 1 3 87 2 6 79 2 7 91 NA NA NA NA NA 0.375 NA 0.1125 NA "P09" "011978" "P09_011978" NA NA NA 547553.113685783 5597640.34369399 83.1112019991984 177.298630876248
"1978-01-17" 1978-01-17 "P10" NA NA 2.32 251.57 3.6 7.8 7.23 501 NA NA 2.54 22 0.7 2 440 340 0.5 102 77 0 23 NA NA NA "Sp. Ersetzt durch 0.5" NA 0.2625 NA 0.07875 NA "P10" "011978" "P10_011978" NA NA NA 547661.416680167 5597787.80510003 42.0833938384613 42.0833938384613
"1978-01-17" 1978-01-17 "P11" NA NA 1.26 251.49 2.2 7.9 6.84 514 NA NA 3.61 31 1.2 2 640 500 54 84 78 8 13 NA NA NA NA NA 0.45 NA 0.135 NA "P11" "011978" "P11_011978" NA NA NA 547659.829176992 5597925.38870853 25.2460520856778 25.2460520856778
"1978-01-17" 1978-01-17 "P26" NA "0.37847222222222227" 1.63 253.55 4 8.5 6.74 340 NA NA 4.78 42 0.7 16 1300 1260 NA 40 97 0 3 NA NA NA NA NA 0.2625 NA 0.07875 NA "P26" "011978" "P26_011978" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
"1978-01-17" 1978-01-17 "P26" "2" NA 1.63 NA 1.8 6.4 6.81 275 NA NA 8.6 72 1.8 5 540 330 13 198 61 2 37 NA NA NA NA NA 0.675 NA 0.2025 "2" "P26_2" "011978" "P26_2_011978" NA NA NA 547230.674152015 5597626.93811162 118.938984402101 489.947582775275
